Serial no.,Country/Continent,Cities,Places,Price
1,India,Mumbai,"Gateway of India, Elephanta Caves, Juhu Beach",20000
2,India,Bengaluru,"Lalbagh, vidhana soudha, cubbon park",15000
3,India,Chennai,"Marina beach, musuem, Santhome Cathedral",20000
4,Singapore,Singapore,"Sentosa island, Orchard road, Botanic Gardens",60000
5,Europe,Rome,"Colosseum,Pantheon, Trevi Fountain",50000
6,Europe,Barcelona,"Gothic quarter, La Rambla walk, La Sagrada Familia",40000
7,Europe,Paris,"Eiffel Tower, Louvre Museum, Arc de Triomphe",60000
8,Europe,London,"St. James Park, Notting Hill Gate, Pricelet Street",70000
9,Australia,Adelaide,"Adelaide zoo, botanic garden,central market",50000
10,Australia,Perth,"Kings park, Elizabeth Quay, Fremantle Prison",40000
11,Australia,Brisbane,"Story Bridge, South bank, Queensland Art Gallery",60000
